genre,pub_year,genre,pub_year,mean_score,count
,2000,global,2000,7.166666666666667,3
,2000,global,2001,7.05,2
,2000,global,2002,7.066666666666666,3
,2000,global,2003,7.633333333333333,6
,2000,global,2004,8.128571428571428,7
,2000,global,2005,7.9875,8
,2000,global,2006,7.18,10
,2000,global,2007,7.3611111111111125,18
,2000,global,2008,6.933333333333333,9
,2000,global,2009,7.47142857142857,14
,2000,global,2010,6.8076923076923075,13
,2000,global,2011,7.433333333333333,6
,2000,global,2012,7.399999999999999,7
,2000,global,2013,7.800000000000001,6
,2000,global,2014,7.7,7
,2000,global,2015,7.383333333333334,6
,2000,global,2016,7.583333333333335,18
,2000,jazz,1999,7.325000000000001,4
,2000,jazz,2000,7.016666666666667,12
,2000,jazz,2001,7.536363636363637,11
,2000,jazz,2002,7.4239999999999995,25
,2000,jazz,2003,7.425000000000002,28
,2000,jazz,2004,7.3034482758620705,29
,2000,jazz,2005,7.658823529411764,17
,2000,jazz,2006,7.478571428571428,14
,2000,jazz,2007,7.500000000000001,17
,2000,jazz,2008,6.805882352941175,17
,2000,jazz,2009,7.315384615384614,13
,2000,jazz,2010,7.554545454545454,11
,2000,jazz,2011,6.85,10
,2000,jazz,2012,7.387499999999999,8
,2000,jazz,2013,7.885714285714286,7
,2000,jazz,2014,8.033333333333333,6
,2000,jazz,2015,7.946153846153846,13
,2000,jazz,2016,7.84848484848485,33
,2000,metal,1999,6.933333333333334,6
,2000,metal,2000,6.027272727272727,11
,2000,metal,2001,5.883333333333334,12
,2000,metal,2002,6.458064516129034,31
,2000,metal,2003,6.203448275862068,29
,2000,metal,2004,6.837500000000001,24
,2000,metal,2005,6.851999999999999,25
,2000,metal,2006,7.126470588235294,34
,2000,metal,2007,7.076666666666667,30
,2000,metal,2008,7.06,45
,2000,metal,2009,7.145454545454544,33
,2000,metal,2010,7.047727272727271,44
,2000,metal,2011,7.034375,32
,2000,metal,2012,7.313043478260868,46
,2000,metal,2013,7.340425531914895,47
,2000,metal,2014,7.1175,40
